partition,label
"['project', 'gutenberg', 'ebook', 'peter', 'pan', 'jame', 'barri', 'ebook', 'use', 'anyon', 'anywher', 'unit', 'state', 'part', 'world', 'cost', 'almost', 'restrict', 'whatsoev', 'may', 'copi', 'give', 'away', 'reus', 'term', 'project', 'gutenberg', 'licens', 'includ', 'ebook', 'onlin', 'wwwgutenbergorg', 'locat', 'unit', 'state', 'check', 'law', 'countri', 'locat', 'use', 'ebook', 'titl', 'peter', 'pan', 'peter', 'pan', 'wendi', 'author', 'jame', 'barri', 'releas', 'date', 'juli', '1991', 'ebook', '16', 'recent', 'updat', 'februari', '15', '2021', 'languag', 'english', 'charact', 'set', 'encod', 'utf8', 'produc', 'duncan', 'research', 'start']",a
"['project', 'gutenberg', 'ebook', 'peter', 'pan', 'peter', 'pan', 'peter', 'wendi', 'j', 'barri', 'jame', 'matthew', 'barri', 'millennium', 'fulcrum', 'edit', 'produc', '1991', 'duncan', 'research', 'note', 'copyright', 'initi', 'claim', 'labor', 'involv', 'digit', 'copyright', 'claim', 'consist', 'current', 'copyright', 'requir', 'text', 'match', '1911', 'origin', 'public', 'public', 'domain', 'u', 'content', 'chapter', 'peter', 'break', 'chapter', 'ii', 'shadow', 'chapter', 'iii', 'come', 'away', 'come', 'away', 'chapter', 'iv', 'flight', 'chapter', 'v', 'island', 'come', 'true', 'chapter', 'vi', 'littl', 'hous', 'chapter', 'vii', 'home', 'ground', 'chapter', 'viii', 'mermaid', 'lagoon', 'chapter', 'ix', 'never', 'bird', 'chapter', 'x', 'happi', 'home', 'chapter', 'xi', 'wendi']",a
"['stori', 'chapter', 'xii', 'child', 'carri', 'chapter', 'xiii', 'believ', 'fairi', 'chapter', 'xiv', 'pirat', 'ship', 'chapter', 'xv', 'hook', 'time', 'chapter', 'xvi', 'return', 'home', 'chapter', 'xvii', 'wendi', 'grew', 'chapter', 'peter', 'break', 'child', 'except', 'one', 'grow', 'soon', 'know', 'grow', 'way', 'wendi', 'knew', 'one', 'day', 'two', 'year', 'old', 'play', 'garden', 'pluck', 'anoth', 'flower', 'ran', 'mother', 'suppos', 'must', 'look', 'rather', 'delight', 'mr', 'darl', 'put', 'hand', 'heart', 'cri', 'oh', 'remain', 'like', 'ever', 'pas']",a
"['subject', 'henceforth', 'wendi', 'knew', 'must', 'grow', 'alway', 'know', 'two', 'two', 'begin', 'end', 'cours', 'live', '14', 'wendi', 'came', 'mother', 'chief', 'one', 'love', 'ladi', 'romant', 'mind', 'sweet', 'mock', 'mouth', 'romant', 'mind', 'like', 'tini', 'box', 'one', 'within', 'come', 'puzzl', 'east', 'howev', 'mani', 'discov', 'alway', 'one', 'sweet', 'mock', 'mouth', 'one', 'kiss', 'wendi', 'could', 'never', 'get', 'though', 'perfectli', 'conspicu', 'righthand', 'corner', 'way', 'mr', 'darl', 'mani', 'gentleman', 'boy', 'girl', 'discov', 'simultan']",a
"['love', 'ran', 'hous', 'propos', 'except', 'mr', 'darl', 'took', 'cab', 'nip', 'first', 'got', 'got', 'except', 'innermost', 'box', 'kiss', 'never', 'knew', 'box', 'time', 'gave', 'tri', 'kiss', 'wendi', 'thought', 'napoleon', 'could', 'got', 'pictur', 'tri', 'go', 'passion', 'slam', 'door', 'mr', 'darl', 'use', 'boast', 'wendi', 'mother', 'love', 'respect', 'one', 'deep', 'one', 'know', 'stock', 'share', 'cours', 'one', 'realli', 'know', 'quit', 'seem', 'know', 'often', 'said', 'stock']",a
"['share', 'way', 'would', 'made', 'woman', 'respect', 'mr', 'darl', 'marri', 'white', 'first', 'kept', 'book', 'perfectli', 'almost', 'gleefulli', 'game', 'much', 'brussel', 'sprout', 'miss', 'whole', 'cauliflow', 'drop', 'instead', 'pictur', 'babi', 'without', 'face', 'drew', 'tot', 'mr', 'darl', 'guess', 'wendi', 'came', 'first', 'john', 'michael', 'week', 'two', 'wendi', 'came', 'doubt', 'whether', 'would', 'abl', 'keep', 'anoth', 'mouth', 'feed', 'mr', 'darl', 'fright', 'proud', 'honour', 'sat']",a
"['edg', 'mr', 'darl', 'bed', 'hold', 'hand', 'calcul', 'expens', 'look', 'imploringli', 'want', 'risk', 'come', 'might', 'way', 'way', 'pencil', 'piec', 'paper', 'confus', 'suggest', 'begin', 'begin', 'interrupt', 'would', 'beg', 'one', 'pound', 'seventeen', 'two', 'six', 'offic', 'cut', 'coffe', 'offic', 'say', 'ten', 'shill', 'make', 'two', 'nine', 'six', 'eighteen', 'three', 'make', 'three', 'nine', 'seven', 'five', 'naught', 'naught', 'chequebook', 'make', 'eight', 'nine', 'sevenwho', 'move', 'eight', 'nine', 'seven', 'dot', 'carri', 'sevendon']",a
"['speak', 'ownand', 'pound', 'lent', 'man', 'came', 'doorquiet', 'childdot', 'carri', 'childther', 'done', 'say', 'nine', 'nine', 'seven', 'ye', 'said', 'nine', 'nine', 'seven', 'question', 'tri', 'year', 'nine', 'nine', 'seven', 'cours', 'georg', 'cri', 'prejud', 'wendi', 'favour', 'realli', 'grander', 'charact', 'two', 'rememb', 'mump', 'warn', 'almost', 'threateningli', 'went', 'mump', 'one', 'pound', 'put', 'daresay', 'like', 'thirti', 'shillingsdon', 'speakmeasl', 'one', 'five', 'german', 'measl', 'half', 'guinea', 'make', 'two', 'fifteen']",a
"['sixdon', 'waggl', 'fingerwhoopingcough', 'say', 'fifteen', 'shill', 'went', 'ad', 'differ', 'time', 'last', 'wendi', 'got', 'mump', 'reduc', 'twelv', 'six', 'two', 'kind', 'measl', 'treat', 'one', 'excit', 'john', 'michael', 'even', 'narrow', 'squeak', 'kept', 'soon', 'might', 'seen', 'three', 'go', 'row', 'miss', 'fulsom', 'kindergarten', 'school', 'accompani', 'nurs', 'mr', 'darl', 'love', 'everyth', 'mr', 'darl', 'passion', 'exactli', 'like', 'neighbour', 'cours', 'nurs', 'poor', 'owe', 'amount', 'milk', 'child', 'drank', 'nurs']",a
"['prim', 'newfoundland', 'dog', 'call', 'nana', 'belong', 'one', 'particular', 'darl', 'engag', 'alway', 'thought', 'child', 'import', 'howev', 'darl', 'becom', 'acquaint', 'kensington', 'garden', 'spent', 'spare', 'time', 'peep', 'perambul', 'much', 'hate', 'careless', 'nursemaid', 'follow', 'home', 'complain', 'mistress', 'prove', 'quit', 'treasur', 'nurs', 'thorough', 'bathtim', 'moment', 'night', 'one', 'charg', 'made', 'slightest', 'cri', 'cours', 'kennel', 'nurseri', 'geniu', 'know', 'cough', 'thing', 'patienc', 'need', 'stock', 'around', 'throat', 'believ']",a
"['last', 'day', 'oldfashion', 'remedi', 'like', 'rhubarb', 'leaf', 'made', 'sound', 'contempt', 'newfangl', 'talk', 'germ', 'lesson', 'proprieti', 'see', 'escort', 'child', 'school', 'walk', 'sedat', 'side', 'well', 'behav', 'but', 'back', 'line', 'stray', 'john', 'footer', 'day', 'never', 'forgot', 'sweater', 'usual', 'carri', 'umbrella', 'mouth', 'case', 'rain', 'room', 'basement', 'miss', 'fulsom', 'school', 'nurs', 'wait', 'sat', 'form', 'nana', 'lay', 'floor', 'differ', 'affect', 'ignor', 'inferior', 'social', 'statu', 'despis', 'light', 'talk']",a
"['resent', 'visit', 'nurseri', 'mr', 'darl', 'friend', 'come', 'first', 'whip', 'michael', 'pinafor', 'put', 'one', 'blue', 'braid', 'smooth', 'wendi', 'made', 'dash', 'john', 'hair', 'nurseri', 'could', 'possibl', 'conduct', 'correctli', 'mr', 'darl', 'knew', 'yet', 'sometim', 'wonder', 'uneasili', 'whether', 'neighbour', 'talk', 'posit', 'citi', 'consid', 'nana', 'also', 'troubl', 'anoth', 'way', 'sometim', 'feel', 'admir', 'know', 'admir', 'tremend', 'georg', 'mr', 'darl', 'would', 'assur', 'would', 'sign', 'child', 'special', 'nice', 'father', 'love', 'danc', 'follow', 'servant']",a
"['liza', 'sometim', 'allow', 'join', 'midget', 'look', 'long', 'skirt', 'maid', 'cap', 'though', 'sworn', 'engag', 'would', 'never', 'see', 'ten', 'gaieti', 'romp', 'gayest', 'mr', 'darl', 'would', 'pirouett', 'wildli', 'could', 'see', 'kiss', 'dash', 'might', 'got', 'never', 'simpler', 'happier', 'famili', 'come', 'peter', 'pan', 'mr', 'darl', 'first', 'heard', 'peter', 'tidi', 'child', 'mind', 'nightli', 'custom', 'everi', 'good', 'mother', 'child', 'asleep', 'rummag', 'mind', 'put', 'thing', 'straight', 'next', 'morn', 'repack', 'proper', 'place', 'mani']",a
"['articl', 'wander', 'day', 'could', 'keep', 'awak', 'cours', 'would', 'see', 'mother', 'would', 'find', 'interest', 'watch', 'quit', 'like', 'tidi', 'drawer', 'would', 'see', 'knee', 'expect', 'linger', 'humor', 'content', 'wonder', 'earth', 'pick', 'thing', 'make', 'discoveri', 'sweet', 'sweet', 'press', 'cheek', 'nice', 'kitten', 'hurriedli', 'stow', 'sight', 'wake', 'morn', 'naughti', 'evil', 'passion', 'went', 'bed', 'fold', 'small', 'place', 'bottom', 'mind', 'top', 'beauti', 'air']",a
"['spread', 'prettier', 'thought', 'readi', 'put', 'know', 'whether', 'ever', 'seen', 'map', 'person', 'mind', 'doctor', 'sometim', 'draw', 'map', 'part', 'map', 'becom', 'intens', 'interest', 'catch', 'tri', 'draw', 'map', 'child', 'mind', 'confus', 'keep', 'go', 'round', 'time', 'zigzag', 'line', 'like', 'temperatur', 'card', 'probabl', 'road', 'island', 'neverland', 'alway', 'le', 'island', 'astonish', 'splash', 'colour', 'coral', 'reef', 'rakishlook', 'craft', 'of', 'savag', 'lone', 'lair', 'gnome', 'mostli', 'tailor', 'cave']",a
"['river', 'run', 'princ', 'six', 'elder', 'brother', 'hut', 'fast', 'go', 'decay', 'one', 'small', 'old', 'ladi', 'hook', 'nose', 'would', 'easi', 'map', 'also', 'first', 'day', 'school', 'religion', 'father', 'round', 'pond', 'needlework', 'murder', 'hang', 'verb', 'take', 'dativ', 'chocol', 'pud', 'day', 'get', 'brace', 'say', 'ninetynin', 'threepenc', 'pull', 'tooth', 'either', 'part', 'island', 'anoth', 'map', 'show', 'rather', 'confus', 'especi', 'noth', 'stand', 'still', 'cours', 'neverland', 'vari', 'good', 'deal', 'john', 'instanc', 'lagoon', 'flamingo', 'fli']",a
"['john', 'shoot', 'michael', 'small', 'flamingo', 'lagoon', 'fli', 'john', 'live', 'boat', 'turn', 'upsid', 'sand', 'michael', 'wigwam', 'wendi', 'hous', 'leav', 'deftli', 'sewn', 'togeth', 'john', 'friend', 'michael', 'friend', 'night', 'wendi', 'pet', 'wolf', 'forsaken', 'parent', 'whole', 'neverland', 'famili', 'resembl', 'stood', 'still', 'row', 'could', 'say', 'nose', 'forth', 'magic', 'shore', 'child', 'play', 'ever', 'beach', 'coracl', 'still', 'hear', 'sound', 'surf', 'though', 'shall', 'land', 'delect', 'island', 'neverland']",a
"['snuggest', 'compact', 'larg', 'sprawli', 'know', 'tediou', 'distanc', 'one', 'adventur', 'anoth', 'nice', 'cram', 'play', 'day', 'chair', 'tablecloth', 'least', 'alarm', 'two', 'minut', 'go', 'sleep', 'becom', 'real', 'nightlight', 'occasion', 'travel', 'child', 'mind', 'mr', 'darl', 'found', 'thing', 'could', 'understand', 'quit', 'perplex', 'word', 'peter', 'knew', 'peter', 'yet', 'john', 'michael', 'mind', 'wendi', 'began', 'scrawl', 'name', 'stood', 'bolder', 'letter', 'word']",a
"['mr', 'darl', 'gaze', 'felt', 'oddli', 'cocki', 'appear', 'ye', 'rather', 'cocki', 'wendi', 'admit', 'regret', 'mother', 'question', 'pet', 'peter', 'pan', 'know', 'mother', 'first', 'mr', 'darl', 'know', 'think', 'back', 'childhood', 'rememb', 'peter', 'pan', 'said', 'live', 'fairi', 'odd', 'stori', 'child', 'die', 'went', 'part', 'way', 'frighten', 'believ', 'time', 'marri', 'full', 'sen', 'quit', 'doubt', 'whether', 'person', 'besid']",a
"['said', 'wendi', 'would', 'grown', 'time', 'oh', 'grown', 'wendi', 'assur', 'confid', 'size', 'meant', 'size', 'mind', 'bodi', 'know', 'knew', 'knew', 'mr', 'darl', 'consult', 'mr', 'darl', 'smile', 'poohpooh', 'mark', 'word', 'said', 'nonsens', 'nana', 'put', 'head', 'sort', 'idea', 'dog', 'would', 'leav', 'alon', 'blow', 'would', 'blow', 'soon', 'troublesom', 'boy', 'gave', 'mr', 'darl', 'quit', 'shock', 'child', 'strangest', 'adventur', 'without']",a
"['troubl', 'instanc', 'may', 'rememb', 'mention', 'week', 'event', 'happen', 'wood', 'met', 'dead', 'father', 'game', 'casual', 'way', 'wendi', 'one', 'morn', 'made', 'disquiet', 'revel', 'leav', 'tree', 'found', 'nurseri', 'floor', 'certainli', 'child', 'went', 'bed', 'mr', 'darl', 'puzzl', 'wendi', 'said', 'toler', 'smile', 'believ', 'peter', 'whatev', 'mean', 'wendi', 'naughti', 'wipe', 'foot', 'wendi', 'said', 'sigh', 'tidi', 'child', 'explain', 'quit', 'matteroffact', 'way']",a
"['thought', 'peter', 'sometim', 'came', 'nurseri', 'night', 'sat', 'foot', 'bed', 'play', 'pipe', 'unfortun', 'never', 'woke', 'know', 'knew', 'knew', 'nonsens', 'talk', 'preciou', 'one', 'get', 'hous', 'without', 'knock', 'think', 'come', 'window', 'said', 'love', 'three', 'floor', 'leav', 'foot', 'window', 'mother', 'quit', 'true', 'leav', 'found', 'near', 'window', 'mr', 'darl', 'know', 'think', 'seem', 'natur', 'wendi', 'could', 'dismiss', 'say', 'dream']",a
"['child', 'mother', 'cri', 'tell', 'forgot', 'said', 'wendi', 'lightli', 'hurri', 'get', 'breakfast', 'oh', 'sure', 'must', 'dream', 'hand', 'leav', 'mr', 'darl', 'examin', 'care', 'skeleton', 'leav', 'sure', 'come', 'tree', 'grew', 'england', 'crawl', 'floor', 'peer', 'candl', 'mark', 'strang', 'foot', 'rattl', 'poker', 'chimney', 'tap', 'wall', 'let', 'tape', 'window', 'pavement', 'sheer', 'drop', 'thirti', 'foot', 'without', 'much', 'spout', 'climb']",a
"['certainli', 'wendi', 'dream', 'wendi', 'dream', 'next', 'night', 'show', 'night', 'extraordinari', 'adventur', 'child', 'may', 'said', 'begun', 'night', 'speak', 'child', 'bed', 'happen', 'nana', 'even', 'mr', 'darl', 'bath', 'sung', 'till', 'one', 'one', 'let', 'go', 'hand', 'slid', 'away', 'land', 'sleep', 'look', 'safe', 'cosi', 'smile', 'fear', 'sat', 'tranquilli', 'fire', 'sew', 'someth', 'michael', 'birthday', 'get', 'shirt', 'fire', 'warm', 'howev', 'nurseri', 'dimli', 'lit', 'three', 'nightlight']",a
"['present', 'sew', 'lay', 'mr', 'darl', 'lap', 'head', 'nod', 'oh', 'grace', 'asleep', 'look', 'four', 'wendi', 'michael', 'john', 'mr', 'darl', 'fire', 'fourth', 'nightlight', 'slept', 'dream', 'dreamt', 'neverland', 'come', 'near', 'strang', 'boy', 'broken', 'alarm', 'thought', 'seen', 'face', 'mani', 'woman', 'child', 'perhap', 'found', 'face', 'mother', 'also', 'dream', 'rent', 'film', 'obscur', 'neverland', 'saw', 'wendi', 'john', 'michael', 'peep', 'gap']",a
"['dream', 'would', 'trifl', 'dream', 'window', 'nurseri', 'blew', 'open', 'boy', 'drop', 'floor', 'accompani', 'strang', 'light', 'bigger', 'fist', 'dart', 'room', 'like', 'live', 'thing', 'think', 'must', 'light', 'waken', 'mr', 'darl', 'start', 'cri', 'saw', 'boy', 'somehow', 'knew', 'peter', 'pan', 'wendi', 'seen', 'like', 'mr', 'darl', 'kiss', 'love', 'boy', 'clad', 'skeleton', 'leav', 'juic', 'ooz', 'tree', 'entranc', 'thing']",a
"['first', 'teeth', 'saw', 'grownup', 'gnash', 'littl', 'pearl', 'chapter', 'ii', 'shadow', 'mr', 'darl', 'scream', 'answer', 'bell', 'door', 'open', 'nana', 'enter', 'return', 'even', 'growl', 'sprang', 'boy', 'leapt', 'lightli', 'window', 'mr', 'darl', 'scream', 'time', 'distress', 'thought', 'kill', 'ran', 'street', 'look', 'littl', 'bodi', 'look', 'black', 'night', 'could', 'see', 'noth', 'thought', 'shoot', 'star', 'return', 'nurseri', 'found', 'nana', 'someth', 'mouth', 'prove']",a
